timestamp, cpu, mem,,,
2/21/2024 5:12,653.8,23.4,,,
2/21/2024 5:12,618.7,23.4,,,
2/21/2024 5:12,643.4,23.4,,,
2/21/2024 5:12,618.4,23.3,,,
2/21/2024 5:12,588.7,23.4,,,
2/21/2024 5:12,592.2,23.4,,,
2/21/2024 5:12,571.9,23.5,,,
2/21/2024 5:12,509.9,23.2,,,
2/21/2024 5:12,630.9,23.5,,,
2/21/2024 5:12,639.6,23.6,,,
2/21/2024 5:12,593.2,23.6,,,
2/21/2024 5:12,615.2,23.6,,,
2/21/2024 5:12,586.2,23.6,,,
2/21/2024 5:12,610.2,23.6,,,
2/21/2024 5:12,581,23.6,,,
2/21/2024 5:12,586,23.6,,,
2/21/2024 5:12,564.6,23.6,,,
2/21/2024 5:12,556.9,23.7,,,
2/21/2024 5:12,481.3,23.3,,,
2/21/2024 5:12,605.3,23.6,,,
2/21/2024 5:12,606.8,23.8,,,
2/21/2024 5:12,601.5,23.8,,,
2/21/2024 5:12,591,23.8,,,
2/21/2024 5:12,563.9,23.8,,,
2/21/2024 5:12,586,23.8,,,
2/21/2024 5:12,557.2,23.8,,,
2/21/2024 5:12,561.8,23.9,,,
2/21/2024 5:12,542.4,24,,,
2/21/2024 5:12,552.6,24,,,
2/21/2024 5:12,462.4,23.6,,,
2/21/2024 5:12,558.8,23.9,,,
2/21/2024 5:12,598.5,24,,,
2/21/2024 5:12,550,24,,,
2/21/2024 5:12,580.1,24,,,
2/21/2024 5:12,553.1,24.1,,,
2/21/2024 5:12,573.6,24,,,
2/21/2024 5:12,541.5,24.1,,,
2/21/2024 5:12,546.4,24.2,,,
2/21/2024 5:12,534.9,24.3,,,
2/21/2024 5:12,538.8,24.3,,,
2/21/2024 5:12,448.2,24,,,
2/21/2024 5:12,451.1,24.1,,,
2/21/2024 5:12,586.8,24.2,,,
2/21/2024 5:12,566.8,24.2,,,
2/21/2024 5:12,567.2,24.2,,,
2/21/2024 5:12,563.4,24.2,,,
2/21/2024 5:12,558.7,24.2,,,
2/21/2024 5:12,532.1,24.3,,,
2/21/2024 5:12,535.4,24.3,,,
2/21/2024 5:12,517.4,24.3,,,
2/21/2024 5:12,525.7,24.4,,,
2/21/2024 5:12,436.6,24.1,,,
2/21/2024 5:13,439.8,24.3,,,
2/21/2024 5:13,572.7,24.4,,,
2/21/2024 5:13,620.8,24.4,,,
2/21/2024 5:13,558.7,24.3,,,
2/21/2024 5:13,571.4,24.5,,,
2/21/2024 5:13,546.2,24.5,,,
2/21/2024 5:13,557.7,24.5,,,
2/21/2024 5:13,528.2,24.5,,,
2/21/2024 5:13,547.4,24.6,,,
2/21/2024 5:13,521.3,24.6,,,
2/21/2024 5:13,469.6,24.2,,,
2/21/2024 5:13,419.4,24.2,,,
2/21/2024 5:13,542.9,24.1,,,
2/21/2024 5:13,579.8,24.2,,,
2/21/2024 5:13,446.6,21,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
